Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,496.6025042585
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1493.81793829992
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1798.34068458315
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5460.4305086932
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4468.45341883656
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12886.1359517218
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,41257.8045846483
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2189.85571407618
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,18896.3721832248
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6638.48541455372
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9955.97478680428
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4597.22887399548
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,31096.2050738676
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54972.7017885437
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,49885.9947355204
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.75371765917
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,33640.3369861278
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,27259.7438599327
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2129.79896954606
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,20583.7265786414
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.77339645635
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46716.6227467964
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6190.04792278445
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1130.82135339795
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,115798.040775578
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3576.87987100503
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3503.89601123129
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6122.3753450882
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7172.08956480028
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,9029.83326681073
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30426.5730284202
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,10372.8044341114
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,764.853077774946
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,210.236494521532
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,4380.78117331128
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2225.87705485686
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1555.22660476477
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46352.8693445211
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13938.2023201976
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,88254.2903677044
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,449.228467602439
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16551.8488917344
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,893.336441643325
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,60568.108347955
